Date,Shares Outstanding,Annual Dividend,Current Ratio,Debt Equity,Book Value,EPS
3/31/2009,572600000,0.52,1.14893856,3.306841627,8.58889277,1.118830384
5/13/2009,571800000,0.52,1.247005622,3.263515755,8.702343477,0.2694997777
8/14/2009,572000000,0.52,1.199119042,2.961748236,10.06293706,-0.4119279073
11/13/2009,572100000,0.52,1.206636201,2.694965133,10.92641147,-1.612221325
3/31/2010,572900000,0.52,1.425277029,2.648643739,11.17647059,-1.537320978
5/14/2010,574000000,0.52,2.98105548,1.427711286,20.90069686,-0.7409386267
8/13/2010,574900000,0.52,2.992644054,1.52550495,20.24178118,-0.09312210163
11/12/2010,576100000,0.52,2.940377358,1.418653356,21.11438986,1.00847265
3/24/2011,577700000,0.52,2.56231856,1.48501008,22.14817379,2.519995961
5/13/2011,621100000,0.52,2.750990379,1.42720163,23.65319594,2.681874655
8/15/2011,621500000,0.52,2.835876816,1.385927746,25.36604988,3.875415888
11/14/2011,619200000,0.52,3.247007822,1.327368946,28.05717054,4.089596926
3/20/2012,619300000,0.52,3.020073387,1.368309486,27.04828032,3.153994542
5/15/2012,618000000,0.52,3.029665366,1.330031853,28.07443366,3.379540721
8/14/2012,618600000,0.56,3.034360069,1.436219113,27.35693501,2.254274341
11/14/2012,618800000,0.56,2.949427481,1.396072727,27.81512605,2.385436973
4/1/2013,619599349,0.56,2.687128201,1.405161608,29.30926256,2.230039425
5/15/2013,615893444,0.56,2.962962963,1.411863101,28.11687666,2.14141696
8/14/2013,615370785,0.6,3.623822546,1.405435099,27.11860947,2.292090976
11/14/2013,613353535,0.6,3.247007822,1.110584862,28.32461054,3.077836433
3/31/2014,615471596,0.6,3.377665762,1.303011602,28.89004158,3.448735254
5/14/2014,615681510,0.6,3.382255083,1.374935192,28.98738993,3.742919627
8/14/2014,616456097,0.64,3.351034609,1.332390466,30.14975453,4.642569024
11/13/2014,617877171,0.64,3.519903846,1.32273781,29.86030374,4.505007575
3/27/2015,618818347,0.64,3.957244427,1.279883074,32.56690772,5.036829505
5/12/2015,928227620,0.44,3.957244427,1.279883074,21.71126948,5.289316497
5/13/2015,927023148,0.44,3.979075933,1.318141069,20.97035014,4.802296831
8/13/2015,960335048,0.48,3.825312584,1.24092923,22.35365672,4.285999052
11/13/2015,957107186,0.48,3.598689454,1.391966368,21.21601457,2.891168333
3/30/2016,961290839,0.48,4.035544607,1.30380792,22.43649801,2.465281908
5/13/2016,958640916,0.52,4.067915882,1.356213182,22.82606515,1.946981647
8/15/2016,958993493,0.52,4.179128871,1.305527327,22.55802584,1.468251644
11/14/2016,959260399,0.52,4.201955442,1.261993717,23.38468264,2.246298809
3/31/2017,958168417,0.52,4.103231221,1.181835556,23.4812582,1.721549985
5/15/2017,958560408,0.56,4.282411642,1.237384085,23.48417461,1.414862567
8/14/2017,958719588,0.56,3.432703214,1.294310032,23.29043891,1.456639995
11/14/2017,959322191,0.56,3.449985333,1.278503358,23.9377346,0.6143090839
3/29/2018,958773120,0.56,3.441246869,1.307112159,25.08622686,1.524733877
5/14/2018,956988539,0.6,3.283769297,1.295664909,25.55516498,2.458850943
8/14/2018,957482297,0.6,3.447135843,1.397765578,25.46365617,2.934358823
11/14/2018,958875486,0.6,3.098953251,1.540127679,23.66417781,2.866681806
3/26/2019,955141841,0.6,3.100129226,1.53678261,26.85150927,3.748186111
5/14/2019,955311717,0.64,2.718239759,1.577679138,27.62867819,3.496437522
